id,loan_amnt,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,purpose,title,dti,earliest_cr_line,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,application_type,mort_acc,pub_rec_bankruptcies,address
0,3000, 36 months,21.18,113.31,E,E3,Cashier,2 years,RENT,25000.0,Source Verified,Mar-2016,credit_card,Credit card refinancing,12.05,Oct-2001,9,0,3122,32.9,9,f,INDIVIDUAL,0.0,0,"68264 Hamilton Harbors Apt. 149
South Karl, OR 70466"
1,10000, 36 months,15.31,348.18,C,C4,sales rep,5 years,RENT,45000.0,Source Verified,Mar-2014,debt_consolidation,Debt consolidation,15.52,Mar-2005,15,1,8918,50.1,33,f,INDIVIDUAL,0.0,0,"PSC 1462, Box 1404
APO AP 70466"
2,25000, 36 months,10.99,818.35,B,B3,Nuclear Operations Specialist,3 years,MORTGAGE,105000.0,Source Verified,Jul-2014,debt_consolidation,Debt consolidation,16.65,Aug-1976,22,0,35019,58.3,56,f,INDIVIDUAL,3.0,0,"63177 Marc Orchard
Port Charlotte, NY 70466"
3,16425, 36 months,19.2,603.74,D,D3,IT Purchasing Analyst,3 years,MORTGAGE,37000.0,Verified,Dec-2013,credit_card,Credit card refinancing,26.53,Feb-2007,8,0,17438,77.5,11,f,INDIVIDUAL,1.0,0,"7027 Benjamin Freeway Suite 978
South Katherinemouth, HI 86630"
4,30000, 36 months,14.65,1034.83,C,C5,System Architect,6 years,MORTGAGE,97500.0,Verified,Apr-2015,debt_consolidation,Debt consolidation,21.19,Sep-1998,12,0,20497,40.7,27,w,INDIVIDUAL,3.0,0,"3182 Roach Island Suite 434
Elizabethville, NY 29597"
5,20125, 60 months,17.27,503.09,C,C5,Costco wholesale,7 years,MORTGAGE,45000.0,Verified,Jan-2013,debt_consolidation,NEW BEGGINING,14.4,May-2006,13,0,3094,10.7,20,f,INDIVIDUAL,0.0,0,"1530 Alexander Village
North Emma, NV 11650"
6,8000, 36 months,15.8,280.47,C,C3,Loud and Clear Inc.,< 1 year,RENT,35000.0,Not Verified,May-2013,credit_card,Credit card refinancing,13.23,Jan-1991,6,0,14676,53.2,7,f,INDIVIDUAL,0.0,0,"USNS Jones
FPO AP 05113"
7,12000, 36 months,14.33,412.06,C,C1,ralphs grocery,10+ years,RENT,80000.0,Not Verified,Aug-2012,debt_consolidation,payday,12.38,Mar-1989,16,0,19461,51.6,28,f,INDIVIDUAL,0.0,0,"PSC 7548, Box 0447
APO AE 29597"
8,7000, 36 months,11.89,232.15,B,B4,TM Floyd,1 year,RENT,108000.0,Source Verified,Mar-2009,house,Home Closing Cost,7.04,Jul-1985,4,0,2759,11.0,14,f,INDIVIDUAL,,0,"219 Jennifer Avenue Apt. 362
Daltonside, FL 22690"
9,20000, 36 months,12.99,673.79,C,C1,Electrical Engineer,3 years,MORTGAGE,68608.0,Source Verified,Aug-2014,debt_consolidation,Debt consolidation,18.02,Sep-2007,20,0,17952,46.5,44,f,INDIVIDUAL,1.0,0,"472 Gabriel Estate Suite 211
Nicholsport, GA 05113"
10,12500, 36 months,5.42,377.0,A,A1,Core-Create,2 years,RENT,182500.0,Verified,Sep-2011,debt_consolidation,Debt Consolidation,5.1,Apr-1989,5,0,3285,35.3,15,f,INDIVIDUAL,,0,"4389 Price Mount
Brightfort, DE 70466"
